"filename", "language", "Python", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0007_alter_archivos_referencia_pk_and_more.py", "Python", 19, 0, 0, 0, 1, 6, 26
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0008_alter_valor_valor.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\models.py", "Python", 42, 0, 0, 0, 1, 10, 53
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\edit_reference.html", "HTML", 0, 420, 0, 0, 3, 50, 473
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_equipment_table_body.html", "HTML", 0, 25, 0, 0, 0, 0, 25
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_equipment_table_footer.html", "HTML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_references_results.html", "HTML", 0, 52, 0, 0, 0, 2, 54
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_references_results_footer.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_references_table_body.html", "HTML", 0, 38, 0, 0, 0, 0, 38
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_references_table_footer.html", "HTML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\view_all_references.html", "HTML", 0, 51, 0, 0, 0, 8, 59
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\view_references.html", "HTML", 0, 231, 0, 0, 0, 23, 254
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\urls.py", "Python", 13, 0, 0, 0, 0, 3, 16
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\views.py", "Python", 262, 0, 0, 0, 17, 78, 357
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\userProfile\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
