"filename", "language", "JavaScript", "CSS", "HTML", "Python", "comment", "blank", "total"
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\users\urls.py", "Python", 0, 0, 0, -3, 0, 0, -3
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\users\views.py", "Python", 0, 0, 0, -103, -8, 23, -88
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\css\styles_general.css", "CSS", 0, 189, 0, 0, 3, 36, 228
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\category_crud.js", "JavaScript", 75, 0, 0, 0, 9, 15, 99
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\confirmations.js", "JavaScript", -122, 0, 0, 0, -6, -13, -141
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\delete_confirmations.js", "JavaScript", 223, 0, 0, 0, 4, 26, 253
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\download_file.js", "JavaScript", 52, 0, 0, 0, 1, 10, 63
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\equipment_crud.js", "JavaScript", 28, 0, 0, 0, 3, 5, 36
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\error_url.js", "JavaScript", -13, 0, 0, 0, -1, -5, -19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\filter_brands.js", "JavaScript", 30, 0, 0, 0, 2, 4, 36
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\filter_selector.js", "JavaScript", 24, 0, 0, 0, 6, 5, 35
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\filters.js", "JavaScript", -24, 0, 0, 0, -6, -5, -35
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\height_textarea.js", "JavaScript", 13, 0, 0, 0, 4, 4, 21
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\images_equipment.js", "JavaScript", -11, 0, 0, 0, -5, -2, -18
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\modal.js", "JavaScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\modal_category.js", "JavaScript", 158, 0, 0, 0, 13, 33, 204
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\modal_images.js", "JavaScript", 49, 0, 0, 0, 8, 10, 67
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\print.js", "JavaScript", -17, 0, 0, 0, -2, -4, -23
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\reference_crud.js", "JavaScript", 109, 0, 0, 0, 5, 28, 142
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\search-general.js", "JavaScript", -29, 0, 0, 0, -7, -5, -41
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\search_categories.js", "JavaScript", -19, 0, 0, 0, 0, -3, -22
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\search_general.js", "JavaScript", 49, 0, 0, 0, 4, 8, 61
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\search_references.js", "JavaScript", 41, 0, 0, 0, 7, 9, 57
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\search_users.js", "JavaScript", -19, 0, 0, 0, 0, -3, -22
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\searchs_tables.js", "JavaScript", 165, 0, 0, 0, 2, 32, 199
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\sub_navigation.js", "JavaScript", 12, 0, 0, 0, 5, 3, 20
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\table.js", "JavaScript", -37, 0, 0, 0, -11, -15, -63
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\tooltip.js", "JavaScript", 41, 0, 0, 0, 12, 20, 73
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\update_files.js", "JavaScript", 67, 0, 0, 0, 1, 11, 79
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\update_image_user.js", "JavaScript", -27, 0, 0, 0, -4, -4, -35
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\update_login_data.js", "JavaScript", -41, 0, 0, 0, -5, -5, -51
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\update_user.js", "JavaScript", -37, 0, 0, 0, -8, -5, -50
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\user_crud.js", "JavaScript", 131, 0, 0, 0, 16, 14, 161
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\user_validation.js", "JavaScript", -46, 0, 0, 0, -7, -5, -58
"Total", "-", 830, 189, 1016, 805, 112, 692, 3644
